Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
184,Mel Hirsch\hirscme01,1947,1947,1,13,,9,45,,,1,2,,,10,,,,18,19,0.2,,0.5,,1.5,,0.8
185,Charlie Hoefer\hoefech01,1947,1948,2,42,,79,335,,,63,101,,,27,,,,98,221,0.236,,0.624,,5.3,,0.6
186,Ryan Hollins\holliry01,2012,2012,1,15,160,18,28,0,0,6,20,9,26,3,1,5,11,23,42,0.643,,0.3,10.7,2.8,1.7,0.2
187,Al Horford\horfoal01,2017,2019,3,208,6443,1134,2277,256,671,280,350,318,1453,959,154,250,349,402,2804,0.498,0.382,0.8,31,13.5,7,4.6
188,Bob Houbregs\houbrbo01,1955,1955,1,,,,,,,,,,,,,,,,,,,,,,,
189,Eddie House\houseed01,2008,2010,3,209,3805,595,1413,332,805,111,129,37,393,292,148,24,158,288,1633,0.421,0.412,0.86,18.2,7.8,1.9,1.4
190,Bailey Howell\howelba01,1967,1970,4,323,9909,2290,4766,,,1232,1666,,2717,493,,,,1127,5812,0.48,,0.739,30.7,18,8.4,1.5
191,Lester Hudson\hudsole01,2010,2010,1,16,70,7,18,3,5,5,6,3,8,8,3,2,9,7,22,0.389,0.6,0.833,4.4,1.4,0.5,0.5
192,Jay Humphries\humphja01,1995,1995,1,6,52,4,9,0,1,2,4,2,3,10,2,0,5,10,10,0.444,0,0.5,8.7,1.7,0.5,1.7
193,Kris Humphries\humphkr01,2014,2014,1,69,1376,231,461,0,2,117,144,127,409,67,31,61,64,136,579,0.501,0,0.813,19.9,8.4,5.9,1
194,Brandon Hunter\huntebr01,2004,2004,1,36,406,53,116,0,3,19,43,50,118,19,13,1,22,40,125,0.457,0,0.442,11.3,3.5,3.3,0.5
195,R.J. Hunter\hunterj01,2016,2019,2,37,341,42,111,23,73,7,9,3,40,16,15,4,11,32,114,0.378,0.315,0.778,9.2,3.1,1.1,0.4
196,Kyrie Irving\irvinky01,2018,2019,2,127,4145,1138,2328,340,841,446,506,104,562,770,168,51,312,289,3062,0.489,0.404,0.881,32.6,24.1,4.4,6.1
197,Demetrius Jackson\jacksde01,2017,2017,1,5,17,3,4,1,1,3,6,2,4,3,0,0,0,0,10,0.75,1,0.5,3.4,2,0.8,0.6
